GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36003951100,"Census Tract 9511, Allegany County, New York",2101,417,1051,633
1400000US36003951200,"Census Tract 9512, Allegany County, New York",2742,838,1523,381
1400000US36003951300,"Census Tract 9513, Allegany County, New York",2634,1203,1154,277
1400000US36005000100,"Census Tract 1, Bronx County, New York",0,0,0,0
1400000US36005000200,"Census Tract 2, Bronx County, New York",1486,158,697,631
1400000US36005000400,"Census Tract 4, Bronx County, New York",2115,152,1499,464
1400000US36005001600,"Census Tract 16, Bronx County, New York",2069,87,283,1699
1400000US36005001900,"Census Tract 19, Bronx County, New York",1002,73,98,831
1400000US36005002000,"Census Tract 20, Bronx County, New York",3215,64,588,2563
1400000US36005002300,"Census Tract 23, Bronx County, New York",2009,9,0,2000
1400000US36005002400,"Census Tract 24, Bronx County, New York",43,0,0,43
1400000US36005002500,"Census Tract 25, Bronx County, New York",2088,141,91,1856
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",1092,31,0,1061
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",1505,21,56,1428
1400000US36005002800,"Census Tract 28, Bronx County, New York",2443,134,458,1851
1400000US36005003100,"Census Tract 31, Bronx County, New York",612,15,125,472
1400000US36005003300,"Census Tract 33, Bronx County, New York",1251,53,133,1065
1400000US36005003500,"Census Tract 35, Bronx County, New York",1384,91,83,1210
1400000US36005003700,"Census Tract 37, Bronx County, New York",148,0,0,148
1400000US36005003800,"Census Tract 38, Bronx County, New York",440,29,127,284
1400000US36005003900,"Census Tract 39, Bronx County, New York",2300,253,117,1930
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",552,68,269,215
1400000US36005004100,"Census Tract 41, Bronx County, New York",2234,178,105,1951
1400000US36005004200,"Census Tract 42, Bronx County, New York",2804,68,326,2410
1400000US36005004300,"Census Tract 43, Bronx County, New York",2185,74,163,1948
1400000US36005004400,"Census Tract 44, Bronx County, New York",1701,60,83,1558
1400000US36005004600,"Census Tract 46, Bronx County, New York",710,4,161,545
1400000US36005004800,"Census Tract 48, Bronx County, New York",1490,83,91,1316
